Paper,Region,Year,Class,Latitude,Longitude
Bossi et al. 2008,Denmark,2005-2009,Bivalvia,55.92103,9.588783
Cunha et al. 2005,"Atlantic Coast, Portugal",2005-2009,Bivalvia,41.316718,-8.732657
Fernández-Sanjuan et al. 2010,"Catalonia, Spain",2010-2014,Bivalvia,40.838699,1.545471
Fernández-Sanjuan et al. 2010,"Catalonia, Spain",2010-2014,Crustacea,38.838699,-2.545471
Gómez et al. 2011,"Cantabrian Sea, Spain",2010-2014,Bivalvia,43.532822,-4.023662
Gulkowska et al. 2006,"East Coast, China",2005-2009,Bivalvia,22.935401,113.396448
Gulkowska et al. 2006,"East Coast, China",2005-2009,Crustacea,22.935401,108.396448
Gulkowska et al. 2006,"East Coast, China",2005-2009,Cephalopoda,22.935401,103.396448
Guo et al. 2019,"Bohai Bay, China",2015-2019,Bivalvia,38.94067,119.183285
Guo et al. 2019,"Bohai Bay, China",2015-2019,Gastropoda,38.94067,114.183285
Julshamn et al. 2015,"Barents Sea, Norway",2015-2019,Crustacea,70.061224,30.8606
Kannan et al. 2005,"Michigan, USA",2005-2009,Crustacea,44.995468,-90.65914
Kannan et al. 2005,"Michigan, USA",2005-2009,Bivalvia,44.995468,-85.65914
Lam et al. 2017,Vietnam,2015-2019,Crustacea,9.865199,105.854585
Lam et al. 2017,Vietnam,2015-2019,Bivalvia,9.865199,110.854585
Lam et al. 2017,Vietnam,2015-2019,Gastropoda,9.865199,115.854585
Munoz et al. 2017,"Gironde Estuary, France",2015-2019,Crustacea,47.505374,1.273533
Munoz et al. 2017,"Gironde Estuary, France",2015-2019,Bivalvia,47.505374,-4.273533
Nania et al. 2009,Mediterranean Sea,2005-2009,Bivalvia,42.86573,11.737505
Nania et al. 2009,Mediterranean Sea,2005-2009,Cephalopoda,42.86573,6.737505
O'Connor et al. 2018,"Tilligerry Creek, Australia",2015-2019,Bivalvia,-32.767526,151.960141
Pan et al. 2010,"Bohai Bay, China",2010-2014,Bivalvia,32.94067,119.183285
Pan et al. 2010,"Bohai Bay, China",2010-2014,Gastropoda,32.94067,114.183285
Quinete et al. 2009,Brazil,2005-2009,Bivalvia,-24.319182,-43.94395
Renzi et al. 2013,"Tyrrhenian Sea, Italy",2010-2014,Crustacea,40.221435,14.29788
Renzi et al. 2013,"Tyrrhenian Sea, Italy",2010-2014,Bivalvia,40.221435,9.29788
Rüdel et al. 2011,"Baltic Sea, Germany",2010-2014,Bivalvia,54.593101,18.556132
Taylor and Johnson. 2016,"Fullerton Cove, Australia",2015-2019,Crustacea,-32.767526,156.73824
Yang et al. 2012,"Bohai Bay, China",2010-2014,Crustacea,27.94067,119.183285
Yang et al. 2012,"Bohai Bay, China",2010-2014,Bivalvia,27.94067,114.183285
Yang et al. 2012,"Bohai Bay, China",2010-2014,Cephalopoda,27.94067,109.183285
Yoo et al. 2009,"Lake Shihwa, Korea",2005-2009,Crustacea,37.248396,126.347816
Vassiliadou et al. 2015,"Aegean Sea, Greece",2015-2019,Bivalvia,38.809384,23.768952